,Unnamed: 0,start station id,start station name,start station latitude,start station longitude,covid_cases,trip count,tripduration_sum(mins),tripduration_mean(mins),usertype_member_count,geometry
1712,1712,4987.06,White St & Moore St,40.704508,-73.9351,0.06635949918655827,0.07073764453412767,288065.6844,38566.8604,11315.0,POINT (-73.93510000000001 40.704508)
1713,1713,4990.01,Railroad Ave & Kay Ave,40.705311,-73.971,0.004832630175866765,0.004436116716312739,17269.9339,4675.1515,851.0,POINT (-73.971 40.705311)
1714,1714,4990.02,Railroad Ave & Kay Ave,40.70514807698391,-73.97078096866608,0.024130664852855484,0.006786297684250985,26751.85,14944.6825,1230.0,POINT (-73.97078096866608 40.70514807698391)
1715,1715,4993.02,Pearl St & Hanover Square,40.704717,-74.00926,0.16045018086442822,0.20548268793440314,951670.1338,68792.2222,36931.0,POINT (-74.00926 40.704717)
1716,1716,4993.13,Old Slip & South St,40.703366,-74.007867,0.21487598668472832,0.16328753082860895,801348.0869,86432.9008,31826.0,POINT (-74.007867 40.703366)
1717,1717,4993.15,Water St & Gouverneur Ln,40.70469667894968,-74.00803416967392,0.1796670214521877,0.101157874507543,457684.9804,65425.1959,17988.0,POINT (-74.00803416967392 40.70469667894968)
1718,1718,4994.1,Onderdonk Ave & Gates Ave,40.70413,-73.90737,0.09759026409511747,0.025407578232599853,95492.0347,24925.201,4021.0,POINT (-73.90737 40.70413)
1719,1719,4996.08,McKibbin St & Manhattan Ave,40.705109,-73.944073,0.08729706364316404,0.08986339322891644,322826.2306,45938.9243,14943.0,POINT (-73.944073 40.705109)
1720,1720,5001.08,Little West St & 1 Pl,40.705692,-74.016776,0.2284409402125221,0.4032822459242177,2085328.097,99774.7718,67713.0,POINT (-74.01677599999999 40.705692)
1721,1721,5002.09,Harman St & Seneca Ave,40.70577,-73.91292,0.11976395854613107,0.0367781301047372,132597.7654,30394.2653,5973.0,POINT (-73.91292 40.70577)
1722,1722,5004.02,Boerum St & Broadway,40.70538,-73.949765,0.09172344325630255,0.11293680535536979,385298.8847,47427.8087,20499.0,POINT (-73.949765 40.70538)
1723,1723,5010.02,Willoughby Ave & Wyckoff Ave,40.705614,-73.92153,0.17112342219416132,0.07964190769033665,301345.8836,44260.2652,11839.0,POINT (-73.92153 40.705614)
1724,1724,5018.06,Knickerbocker Ave & Thames St,40.70539,-73.92976,0.12047321679751524,0.07299974376221134,314314.4322,39648.5927,10960.0,POINT (-73.92976 40.70539)
1725,1725,5021.05,Kent Ave & Division Ave,40.706563674670925,-73.9683187007904,0.0500255854562513,0.06355097530508312,283020.832,39676.4339,10446.0,POINT (-73.96831870079041 40.70656367467092)
1726,1726,5024.08,Front St & Maiden Ln,40.705309,-74.006125,0.004137449946593717,0.011014221197271067,54430.7,4039.308,2014.0,POINT (-74.006125 40.705309)
1727,1727,5024.09,Fulton St & Pearl St,40.707721,-74.004386,0.01590786574940358,0.1517928637775856,754995.8514,17761.5579,23717.0,POINT (-74.004386 40.707721)
